Course Title: Programming in C			
Session Number / Title	Duration	Topics / Content Outline	PPT Resouce (Published URL)
UNIT 1: BASICS OF C PROGRAMMING			
Session 1: Introduction to C Programming	1 Hour	"- What is C? Why C still matters (systems, OS, embedded).
- Difference between Python and C (compiled vs interpreted, performance, control).
- Structure of a C program: #include, main(), braces, statements."	http://tiny.cc/CSes01Deck
Session 2: Compilation Process & Preprocessor Directives	1 Hour	"- Phases of C program compilation: preprocessing, compilation, linking, execution.
- Role of compiler and linker.
- Preprocessor directives: #include, #define.
- Macros vs variables (why macros exist)."	http://tiny.cc/CSes02Deck
Session 3: Tokens, Keywords & Data Types	1 Hour	"- C tokens overview.
- Character set and basic syntax rules.
- Keywords vs identifiers (naming rules and pitfalls).
- Data types overview (int, float, char, double)."	http://tiny.cc/CSes03Deck
Session 4: Variables, Constants & I/O	1 Hour	"- Constants and variables: declaration vs definition.
- printf, scanf (format specifiers deeply)
- Common I/O mistakes"	http://tiny.cc/CSes04Deck
Session 5: Operators & Expressions	1 Hour	"- Arithmetic, relational, logical, assignment operators.
- Expressions and evaluation.
- Increment/decrement operators (++, --) - prefix vs postfix."	http://tiny.cc/CSes05Deck
Session 6: Operator Precedence & Associativity	1 Hour	"- Why precedence matters in C more than Python.
- Precedence hierarchy .
- Associativity rules.
- Expression tracing step-by-step."	http://tiny.cc/CSes06Deck
Session 7: Branching Statements	1 Hour	"- if, if-else, nested if.
- else-if ladder.
- switch-case: syntax, break, fall-through behavior."	http://tiny.cc/CSes07Deck
Session 8: Looping Statements	1 Hour	"- while, do-while, for loops.
- Entry-controlled vs exit-controlled loops."	http://tiny.cc/CSes08Deck
Session 9: Control Flow Integration	1 Hour	"- Combining branching and looping.
- Nested loops (patterns, counting logic).
- break, continue, and goto."	http://tiny.cc/CSes09Deck
UNIT 2: ARRAYS AND STRINGS			
